Fecha,Partido,Hora,Lugar
2026-06-28,Sudáfrica vs. Canadá,2:00 PM,"SoFi Stadium, Inglewood, California, EUA"
2026-06-29,Brasil vs. Japón,12:00 PM,"NRG Stadium, Houston, Texas, EUA"
2026-06-29,Alemania vs. Paraguay,3:30 PM,"Gillette Stadium, Foxborough, Massachusetts, EUA"
2026-06-29,Países Bajos vs. Marruecos,8:00 PM,"Estadio BBVA, Guadalupe, México"
2026-06-30,Costa de Marfil vs. Noruega,12:00 PM,"AT&T Stadium, Arlington, Texas, EUA"
2026-06-30,Francia vs. Suecia,4:00 PM,"MetLife Stadium, East Rutherford, New Jersey, EUA"
2026-06-30,México vs. Third Place Group C/E/F/H/I,8:00 PM,"Estadio Banorte, Ciudad de México, México"
2026-07-01,Group L Winner vs. Third Place Group E/H/I/J/K,11:00 AM,"Mercedes-Benz Stadium, Atlanta, Georgia, EUA"
2026-07-01,Bélgica vs. Third Place Group A/E/H/I/J,3:00 PM,"Lumen Field, Seattle, Washington, EUA"
2026-07-01,Estados Unidos vs. Bosnia y Herzegovina,7:00 PM,"Levi's Stadium, Santa Clara, California, EUA"
2026-07-02,España vs. Group J 2nd Place,2:00 PM,"SoFi Stadium, Inglewood, California, EUA"
2026-07-02,Group K 2nd Place vs. Group L 2nd Place,6:00 PM,"BMO Field, Toronto, Canadá"
2026-07-02,Suiza vs. Third Place Group E/F/G/I/J,10:00 PM,"BC Place, Vancouver, Canadá"
